z,sigma_0_2,sigma_1_0,sigma_2_0
0.10000000000000009,-1.6044379124341002,0.005000000000000009,0.6981471805599453
0.10999999999999988,-1.6033879124341004,0.006049999999999986,0.6991971805599453
0.1200000000000001,-1.6022379124341002,0.007200000000000013,0.7003471805599453
0.1299999999999999,-1.6009879124341002,0.008449999999999985,0.7015971805599452
0.14000000000000012,-1.5996379124341003,0.009800000000000017,0.7029471805599453
0.1499999999999999,-1.5981879124341003,0.011249999999999987,0.7043971805599453
0.16000000000000014,-1.5966379124341004,0.012800000000000023,0.7059471805599453
0.16999999999999993,-1.5949879124341002,0.014449999999999987,0.7075971805599452
0.18000000000000016,-1.5932379124341003,0.01620000000000003,0.7093471805599453
0.18999999999999995,-1.5913879124341004,0.01804999999999999,0.7111971805599453
0.20000000000000018,-1.5894379124341003,0.020000000000000035,0.7131471805599453
0.20999999999999996,-1.5873879124341004,0.022049999999999993,0.7151971805599453
0.2200000000000002,-1.5852379124341003,0.024200000000000044,0.7173471805599453
0.22999999999999998,-1.5829879124341002,0.026449999999999994,0.7195971805599453
0.2400000000000002,-1.5806379124341001,0.02880000000000005,0.7219471805599453
0.25,-1.5781879124341003,0.03125,0.7243971805599453
0.26000000000000023,-1.5756379124341002,0.03380000000000006,0.7269471805599453
0.27,-1.5729879124341002,0.03645,0.7295971805599453
0.28000000000000025,-1.5702379124341002,0.03920000000000007,0.7323471805599453
0.29000000000000004,-1.5673879124341004,0.04205000000000001,0.7351971805599453
0.30000000000000027,-1.5644379124341001,0.04500000000000008,0.7381471805599453
0.31000000000000005,-1.5613879124341004,0.048050000000000016,0.7411971805599453
0.3200000000000003,-1.5582379124341001,0.05120000000000009,0.7443471805599454
0.33000000000000007,-1.5549879124341002,0.054450000000000026,0.7475971805599453
0.33999999999999986,-1.5516379124341004,0.05779999999999995,0.7509471805599452
0.3500000000000001,-1.5481879124341003,0.061250000000000034,0.7543971805599453
0.3599999999999999,-1.5446379124341003,0.06479999999999995,0.7579471805599453
0.3700000000000001,-1.5409879124341002,0.06845000000000004,0.7615971805599453
0.3799999999999999,-1.5372379124341002,0.07219999999999996,0.7653471805599452
0.3900000000000001,-1.5333879124341003,0.07605000000000005,0.7691971805599453
0.3999999999999999,-1.5294379124341004,0.07999999999999996,0.7731471805599452
0.41000000000000014,-1.5253879124341003,0.08405000000000006,0.7771971805599454
0.41999999999999993,-1.5212379124341002,0.08819999999999997,0.7813471805599452
0.43000000000000016,-1.5169879124341001,0.09245000000000007,0.7855971805599453
0.43999999999999995,-1.5126379124341003,0.09679999999999998,0.7899471805599453
0.4500000000000002,-1.5081879124341002,0.10125000000000008,0.7943971805599453
0.45999999999999996,-1.5036379124341004,0.10579999999999998,0.7989471805599453
0.4700000000000002,-1.4989879124341001,0.11045000000000009,0.8035971805599453
0.48,-1.4942379124341003,0.1152,0.8083471805599453
0.4900000000000002,-1.4893879124341,0.1200500000000001,0.8131971805599454
0.5,-1.4844379124341003,0.125,0.8181471805599453
0.5100000000000002,-1.4793879124341003,0.1300500000000001,0.8231971805599454
0.52,-1.4742379124341003,0.13520000000000001,0.8283471805599453
0.5300000000000002,-1.4689879124341,0.14045000000000013,0.8335971805599454
0.54,-1.4636379124341004,0.1458,0.8389471805599453
0.5500000000000003,-1.4581879124341002,0.15125000000000013,0.8443971805599454
0.56,-1.4526379124341002,0.15680000000000002,0.8499471805599453
0.5700000000000003,-1.4469879124341,0.16245000000000015,0.8555971805599454
0.5800000000000001,-1.4412379124341002,0.16820000000000004,0.8613471805599453
0.5899999999999999,-1.4353879124341002,0.17404999999999993,0.8671971805599452
0.6000000000000001,-1.4294379124341003,0.18000000000000005,0.8731471805599453
0.6099999999999999,-1.4233879124341002,0.18604999999999994,0.8791971805599452
0.6200000000000001,-1.4172379124341001,0.19220000000000007,0.8853471805599453
0.6299999999999999,-1.4109879124341003,0.19844999999999993,0.8915971805599452
0.6400000000000001,-1.4046379124341002,0.2048000000000001,0.8979471805599454
0.6499999999999999,-1.3981879124341003,0.21124999999999994,0.9043971805599452
0.6600000000000001,-1.3916379124341,0.2178000000000001,0.9109471805599454
0.6699999999999999,-1.3849879124341002,0.22444999999999996,0.9175971805599452
0.6800000000000002,-1.3782379124341002,0.2312000000000001,0.9243471805599454
0.69,-1.3713879124341004,0.23804999999999996,0.9311971805599453
0.7000000000000002,-1.3644379124341002,0.24500000000000013,0.9381471805599454
0.71,-1.3573879124341004,0.25205,0.9451971805599453
0.7200000000000002,-1.3502379124341002,0.25920000000000015,0.9523471805599455
0.73,-1.3429879124341002,0.26644999999999996,0.9595971805599453
0.7400000000000002,-1.3356379124341,0.27380000000000015,0.9669471805599454
0.75,-1.3281879124341003,0.28125,0.9743971805599453
0.7600000000000002,-1.3206379124341001,0.28880000000000017,0.9819471805599455
0.77,-1.3129879124341004,0.29645,0.9895971805599453
0.7800000000000002,-1.3052379124341,0.3042000000000002,0.9973471805599454
0.79,-1.2973879124341003,0.31205000000000005,1.0051971805599453
0.8000000000000003,-1.2894379124341,0.32000000000000023,1.0131471805599455
0.81,-1.2813879124341003,0.32805000000000006,1.0211971805599453
0.8200000000000003,-1.2732379124341,0.3362000000000002,1.0293471805599455
0.8300000000000001,-1.2649879124341004,0.34445000000000003,1.0375971805599453
0.8399999999999999,-1.2566379124341003,0.3527999999999999,1.0459471805599452
0.8500000000000001,-1.2481879124341002,0.36125000000000007,1.0543971805599455
0.8599999999999999,-1.2396379124341004,0.3697999999999999,1.062947180559945
0.8700000000000001,-1.2309879124341,0.3784500000000001,1.0715971805599454
0.8799999999999999,-1.2222379124341003,0.38719999999999993,1.0803471805599452
0.8900000000000001,-1.2133879124341003,0.3960500000000001,1.0891971805599454
0.8999999999999999,-1.2044379124341003,0.4049999999999999,1.0981471805599452
0.9100000000000001,-1.1953879124341,0.41405000000000014,1.1071971805599454
0.9199999999999999,-1.1862379124341005,0.4231999999999999,1.1163471805599452
0.9300000000000002,-1.1769879124341,0.43245000000000017,1.1255971805599454
0.94,-1.1676379124341003,0.44179999999999997,1.1349471805599451
0.9500000000000002,-1.1581879124341001,0.45125000000000015,1.1443971805599453
0.96,-1.1486379124341002,0.4608,1.1539471805599453
0.9700000000000002,-1.1389879124341,0.4704500000000002,1.1635971805599454
0.98,-1.1292379124341003,0.48019999999999996,1.1733471805599454
0.9900000000000002,-1.1193879124341,0.4900500000000002,1.1831971805599455
1.0,-1.1094379124341003,0.5,1.1931471805599454
1.0099999999999998,-1.0993879124341004,0.5100499999999998,1.203197180559945
1.0200000000000005,-1.0892379124340998,0.5202000000000004,1.2133471805599458
1.0300000000000002,-1.0789879124341,0.5304500000000003,1.2235971805599455
1.04,-1.0686379124341001,0.5408000000000001,1.2339471805599453
1.0499999999999998,-1.0581879124341005,0.5512499999999998,1.244397180559945
1.0600000000000005,-1.0476379124340998,0.5618000000000005,1.2549471805599457
1.0700000000000003,-1.0369879124341,0.5724500000000003,1.2655971805599457
1.08,-1.0262379124341003,0.5832,1.2763471805599453
1.0899999999999999,-1.0153879124341003,0.5940499999999999,1.2871971805599451
1.0999999999999996,-1.0044379124341005,0.6049999999999996,1.298147180559945
1.1100000000000003,-0.9933879124341,0.6160500000000003,1.3091971805599456
1.12,-0.9822379124341002,0.6272000000000001,1.3203471805599454
1.13,-0.9709879124341004,0.6384499999999999,1.3315971805599451
1.1399999999999997,-0.9596379124341007,0.6497999999999996,1.3429471805599449
1.1500000000000004,-0.9481879124340998,0.6612500000000004,1.3543971805599457
