split,seed,architecture,score_source,decision,budget,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,Position.X,145,59,0.4068965517241379,63,2.3575775725,26.722344466992084,4.386543915254237,28.051547
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,Position.Y,96,32,0.3333333333333333,46,1.713746643611111,26.841773941025128,4.19176628125,29.050435999999998
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,Position.Z,121,2,0.01652892561983471,1,1.5845958772222224,0.6310757300170363,17.483569500000016,24.99839300000002
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,4.523490999999979,4.980281999999988
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,Actuator Controls,17,0,0.0,15,0.5114270366666666,29.3296969549472,,
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,Actuator Outputs,25,1,0.04,34,0.7446180683333333,45.66099245496642,0.0,0.0
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,Actuator Outputs+Controls,42,1,0.023809523809523808,42,1.2128293091666666,34.62976997880942,0.0,0.0
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,Position.X,145,52,0.3586206896551724,78,2.3575775725,33.08480743532353,4.283953942307691,29.053687999999994
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,Position.Y,96,29,0.3020833333333333,46,1.713746643611111,26.841773941025128,4.628857448275864,30.052642
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,Position.Z,121,9,0.0743801652892562,23,1.5845958772222224,14.514741790391835,4.089428777777777,20.018408000000022
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,5.489559999999983,5.9944849999999406
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,Actuator Controls,17,0,0.0,7,0.5114270366666666,13.687191912308693,,
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,Actuator Outputs,25,0,0.0,10,0.7446180683333333,13.429703663225416,,
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,Actuator Outputs+Controls,42,0,0.0,16,1.2128293091666666,13.192293325260732,,
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,Position.X,145,25,0.1724137931034483,47,2.3575775725,19.935717300771874,29.359634560000003,91.166051
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,Position.Y,96,22,0.22916666666666666,55,1.713746643611111,32.09342536426917,26.73956431818181,57.842783
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,Position.Z,121,4,0.03305785123966942,6,1.5845958772222224,3.7864543801022177,20.768324500000013,53.98689999999999
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,29.016749000000004,34.04000199999996
split_01,1,dense_ae,dense_ae_relerr,threshold,advisory,Actuator Controls,17,0,0.0,18,0.5114270366666666,35.19563634593664,,
split_01,1,dense_ae,dense_ae_relerr,threshold,advisory,Actuator Outputs,25,4,0.16,18,0.7446180683333333,24.17346659380575,14.247332499999999,25.03756900000002
split_01,1,dense_ae,dense_ae_relerr,threshold,advisory,Actuator Outputs+Controls,42,4,0.09523809523809523,34,1.2128293091666666,28.033623316179053,14.247332499999999,25.03756900000002
