pair,flight_count
KOKC->KBMI,1
KOKC->KCDS,1
KOKC->KLTS,1
KOKC->KMKE,1
KOKC->KSUU,1
KNZY->KLGA,1
KNZY->KLSV,1
KNZY->KNTD,1
KNZY->WSSL,1
KOAJ->KDAA,1
KOAJ->KNKT,1
KOAJ->TJRV,1
KOAJ->TNCC,1
KOPF->KMOB,1
KOPF->KPBI,1
KOPF->KVQQ,1
KOQU->KAPG,1
KOQU->KGRK,1
KOQU->KHUA,1
KOQU->KMUI,1
KORF->KNGU,1
KORF->KNIP,1
KORH->KOQU,1
KOFF->KSWO,1
KOFF->LGSA,1
KOFF->RODN,1
KOGS->KART,1
KOGS->KGTB,1
KOKB->KRIV,1
KOZR->KMGM,1
KOLM->PAFB,1
KOLU->KSUS,1
KOPF->KBCT,1
KOPF->KHST,1
EGXC->EGSC,1
EGXH->EGUL,1
EGXH->KPIT,1
EGXT->EGUB,1
EGXT->EGXC,1
EGXT->EGYE,1
EGTC->EGHL,1
EGTK->EGXW,1
EGUB->EGLF,1
EGUB->EGVO,1
EGUB->EGYD,1
KPDX->CYPG,1
KPDX->MGGT,1
KPHF->KNGU,1
KPHF->KNTU,1
KPHX->EPWA,1
KPHX->LLBG,1
KOSU->KGRK,1
KOSU->KLCK,1
KOWB->KGTB,1
KOXB->KBED,1
KOXR->EGPK,1
KOXR->KACT,1
KOXR->KOXB,1
KOZR->KGRK,1
KOZR->KGTR,1
KOZR->KLNK,1
KPAE->KACT,1
KPAE->KMHR,1
EGUL->EGYM,1
EGUN->EGUL,1
EGUN->LLBG,1
EGUN->LRSB,1
EGVA->EGHQ,1
EGVA->LEGT,1
EGVN->EGOS,1
EGNL->KBDL,1
EGNV->EGCM,1
EGNV->EGNL,1
EGNX->KMTN,1
EGOV->EGNL,1
KPAE->RPLC,1
KPAM->KNGU,1
KPWM->KBAF,1
KPIB->KFBG,1
KPIB->KSVN,1
KPIE->KECG,1
KPIT->ETAR,1
KPKB->KHTS,1
KPKB->KMGW,1
KPMD->KEDW,1
KPMD->KNHK,1
KPNE->KGMU,1
KPNE->KLRF,1
KPNE->OMDB,1
KPNS->KAPA,1
KPNS->KBIX,1
KPNS->KCEW,1
KOZR->PHIK,1
KRIC->KPHF,1
KRIV->KOFF,1
KRIV->KSBD,1
KRIV->PADQ,1
KRIV->SCEL,1
KPNS->KNPA,1
KPOB->KBHM,1
KPOB->KGSO,1
KPOB->KHLG,1
KPOE->KSHV,1
KPOE->KSWF,1
KPUB->KCOS,1
KPUB->KVPS,1
KPVD->KOQU,1
KPVD->KUUU,1
KPVU->KSVR,1
KRNO->KTRK,1
KROC->KART,1
KRVS->KHOP,1
KRWI->KPGV,1
KSAC->LXGB,1
KSAF->KIWA,1
KSAN->KNZY,1
KSAT->KRND,1
KPWM->KPSM,1
KPWT->KGRF,1
KRAL->KOKB,1
KRDU->KFBG,1
KRDU->KGON,1
KRDU->KWRI,1
KRIC->KDMA,1
KRIC->KNEL,1
EGHI->EGUB,1
EGHI->EGVO,1
KSAV->KPHF,1
KSAV->KSVN,1
KSBA->KNTD,1
KSCH->KAND,1
KSCH->KGFL,1
KSCK->KFAT,1
